Region	State	Location	Year	Month	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves	Aphids_plant
East	PA	Cherry_Valley_A	2019	7	7	110	27	0	5	0	0	2	2	0	1.333333333	4	36
Midwest	MI	17	2018	9	3	76.2	18	0	0	0	3	1	2	0	2	6	36
Midwest	MI	20	2018	9	2	87.6	22	0	0	0	0	0	5	0	1.666666667	5	36.66666667
East	PA	4	2019	6	8	79	28	4	0	0	0	0	4	0	1.333333333	4	37.33333333
Midwest	MI	20	2018	9	8	69.4	17	0	0	0	7	0	0	0	2.333333333	7	39.66666667
East	PA	Cherry_Valley_B	2019	7	4	105	20	2	0	6	1	1	4	0	2	6	40
East	PA	Forevergreen_	2019	7	5	101	20	0	0	0	4	2	0	0	2	6	40
Midwest	MI	23	2020	9	6	160	15	0	12	0	2	6	0	0	2.666666667	8	40
Midwest	MI	15	2018	9	5	86.4	11	0	6	0	0	0	11	0	3.666666667	11	40.33333333
East	PA	5	2019	7	2	72	31	0	0	0	0	3	1	0	1.333333333	4	41.33333333
East	PA	Cherry_Valley_A	2019	7	3	120	25	0	0	5	2	2	1	0	1.666666667	5	41.66666667
East	PA	Forevergreen_	2019	7	4	109	21	4	0	6	3	1	2	0	2	6	42
East	PA	Forevergreen_	2019	7	2	110	18	0	0	0	7	0	0	0	2.333333333	7	42
Midwest	IN	9	2020	9	8	86	18	0	0	0	0	7	0	0	2.333333333	7	42
Midwest	MI	10	2020	9	2	68	21	0	0	0	1	1	4	0	2	6	42
East	PA	Cherry_Valley_A	2019	6	2	105	22	0	0	6	2	4	0	0	2	6	44
East	PA	Cherry_Valley_A	2019	7	3	143	44	0	0	0	0	2	1	0	1	3	44
East	PA	Cherry_Valley_A	2019	6	1	84	19	0	0	7	3	4	0	0	2.333333333	7	44.33333333
East	PA	Forevergreen_	2019	6	4	105	20	4	0	7	3	2	2	0	2.333333333	7	46.66666667
East	PA	Forevergreen_	2019	7	6	106	24	4	0	6	1	5	0	0	2	6	48
East	PA	3	2019	7	2	110	36	0	0	0	0	1	3	0	1.333333333	4	48
East	PA	5	2019	7	5	69	25	0	0	0	0	6	0	0	2	6	50
East	PA	Forevergreen_	2019	7	1	113	17	0	0	0	2	3	4	0	3	9	51
East	PA	Cherry_Valley_A	2019	7	2	113	39	0	0	0	1	3	0	0	1.333333333	4	52
East	PA	Cherry_Valley_A	2019	7	1	120	52	0	0	0	0	2	1	1	1	3	52
East	PA	Cherry_Valley_A	2019	7	8	115	39	0	0	0	0	0	4	0	1.333333333	4	52
Midwest	IN	9	2020	9	7	104	26	0	3	0	0	6	0	0	2	6	52
East	PA	5	2019	7	9	52	27	0	0	0	2	4	0	0	2	6	54
Midwest	MI	10	2020	9	3	110	41	0	1	0	2	2	0	0	1.333333333	4	54.66666667
East	PA	Forevergreen_	2019	6	7	122	21	5	0	8	1	3	4	0	2.666666667	8	56
East	PA	Cherry_Valley_B	2019	6	10	173	25	3	0	7	2	1	4	0	2.333333333	7	58.33333333
East	PA	Cherry_Valley_A	2019	7	2	104	22	0	0	8	1	5	2	0	2.666666667	8	58.66666667
East	PA	4	2019	6	8	95	30	5	0	0	0	1	5	0	2	6	60
East	PA	Cherry_Valley_A	2019	7	6	125	36	3	0	0	0	3	2	0	1.666666667	5	60
East	PA	Cherry_Valley_A	2019	7	9	126	45	0	0	0	0	0	4	2	1.333333333	4	60
East	PA	5	2019	7	4	72	23	0	0	0	0	1	7	0	2.666666667	8	61.33333333
East	PA	Cherry_Valley_B	2019	6	3	125	37	6	0	8	1	1	3	0	1.666666667	5	61.66666667
East	PA	Cherry_Valley_A	2019	7	10	136	27	0	9	0	2	3	2	0	2.333333333	7	63
East	PA	5	2019	7	1	96	24	3	0	0	0	1	7	0	2.666666667	8	64
East	PA	Cherry_Valley_A	2019	7	1	97	32	0	0	0	0	3	3	0	2	6	64
Midwest	MI	20	2018	9	10	107.6	18	0	0	0	0	11	0	0	3.666666667	11	66
East	PA	Cherry_Valley_B	2019	7	7	109	20	2	0	9	6	3	1	0	3.333333333	10	66.66666667
East	PA	Cherry_Valley_B	2019	6	4	108	23	2	0	6	2	4	3	0	3	9	69
East	PA	Cherry_Valley_B	2019	6	9	93	21	0	0	10	3	2	5	0	3.333333333	10	70
East	PA	Cherry_Valley_A	2019	.	3	136	43	0	0	0	2	3	0	0	1.666666667	5	71.66666667
East	PA	Forevergreen_	2019	7	1	105	18	2	0	12	6	4	2	0	4	12	72
East	PA	1	2019	7	2	95	28	0	0	0	0	1	7	0	2.666666667	8	74.66666667
East	PA	Forevergreen_	2019	7	6	111	25	0	3	0	4	1	4	0	3	9	75
East	PA	Cherry_Valley_A	2019	7	8	115	38	0	0	0	0	4	2	0	2	6	76
East	PA	Cherry_Valley_A	2019	7	5	123	47	0	0	0	0	5	0	0	1.666666667	5	78.33333333
East	PA	Cherry_Valley_A	2019	.	9	116	30	0	0	0	0	2	6	0	2.666666667	8	80
Midwest	MI	24	2020	9	3	1	23	0	11	1	6	3	0	0	3	9	80
East	PA	Cherry_Valley_A	2019	.	7	109	27	0	6	0	5	2	2	0	3	9	81
East	PA	Cherry_Valley_B	2019	7	10	116	25	3	0	9	1	3	6	0	3.333333333	10	83.33333333
East	PA	Forevergreen_	2019	6	1	104	18	2	0	14	10	4	0	0	4.666666667	14	84
East	PA	Forevergreen_	2019	7	6	115	23	0	3	0	3	2	6	0	3.666666667	11	84.33333333
Midwest	MI	19	2018	9	6	88.2	17	0	1	0	1	11	3	0	5	15	85
East	PA	5	2019	7	1	91	24	0	3	0	0	0	11	2	3.666666667	11	88
East	PA	Cherry_Valley_A	2019	7	6	129	38	0	10	0	1	4	2	0	2.333333333	7	88.66666667
East	PA	Cherry_Valley_A	2019	7	10	121	30	0	11	0	1	0	8	0	3	9	90
East	PA	Forevergreen_	2019	7	5	101	20	0	2	0	9	5	0	0	4.666666667	14	93.33333333
Midwest	MI	20	2018	9	4	123.4	28	0	0	0	1	9	0	0	3.333333333	10	93.33333333
East	PA	Cherry_Valley_B	2019	.	8	109	22	0	0	0	0	9	4	0	4.333333333	13	95.33333333
East	PA	Cherry_Valley_A	2019	7	2	119	41	0	0	0	0	1	6	0	2.333333333	7	95.66666667
East	PA	Cherry_Valley_A	2019	6	10	126	32	4	0	9	3	5	1	0	3	9	96
